"reflo","locx","locy"
"-0.12","-0.2",12
"-1.1.","-1.6",1.5
"-1.8.","-1.6",8.3
"-11","-1",1
"-110","-1.1",10.1
"-113","-1",13.3
"-114","-1.1",14.5
"-14","-1",4
"-19","-1.1",8.9
"-2.1","-2.4",10
"-2.11","-2.5",11
"-2.12","-2",12.2
"-2.13","-2.5",12.9
"-2.4.","-2.5",4.4
"-2.5","-2.5",5.1
"-2.8","-2.8",8
"-211","-2.1",11
"-212","-2",12.2
"-213","-2",13.1
"-214","-2.4",13.9
"-215","-2",15
"-27","-2.1",6.6
"-3.2","-3.3",2
"-30","-3.5",0
"-310","-3",11
"-312","-3",12.2
"-313","-3",13
"-32","-2.8",2
"-35","-3",5.4
"-36","-3",6.5
"-38","-3.3",8
"-4.1","-4.6",10
"-4.13","-4.3",13.2
"-4.2.","-4.7",2.8
"-410","-4.5",10.5
"-413","-4.1",13.3
"-414","-4.4",14
"-43","-4",3.5
"-5.11.","-5.5",11.5
"-5.5.","-5.4",5.2
"-5.6","-5.4",6
"-512","-4.9",11.8
"-513","-5.2",12.9
"-515","-5.1",15.4
"-53","-5",3.2
"-55","-5",5
"-59","-5.3",9.1
"-6.10.","-6.7",10.8
"-6.12.","-6.4",12.4
"-6.5","-6.5",6.2
"-6.6.","-6.4",6.5
"-6.8","-6.5",8
"-6.9","-6.6",9
"-610","-6.2",10.2
"-611","-6",11.4
"-612","-6.3",12.1
"-613","-6.2",13.3
"-63","-6.2",3.1
"-65","-6",5
"-66","-6.2",6.2
"-7.12","-7.7",12.7
"-7.12.","-7.6",12.6
"-7.5","-7.6",5
"-7.6","-7.5",6.1
"-7.9","-7.6",9.1
"-711","-7.1",11.1
"-712","-7",12
"-713","-7.4",13.4
"-73","-7",3.1
"-75","-7",5
"-77","-7.2",6.6
"-79","-7",9
"-8.11","-8.5",11
"-8.12","-8.5",12.1
"-8.12.","-8.8",12.8
"-811","-8",11.2
"-812","-8",12.1
"0.1","0.4",10
"0.1.","0.5",0.5
"0.11","0.7",11
"0.12","0.1",12.1
"0.13.","0.4",13.6
"0.2.","0.3",2.6
"0.5.","0.5",6.6
"0.6.","0.5",6.6
"014","0.2",14
"05","0",5
"05.","0",5.5
"08","-0.3",8
"A.11.","A.7",11.5
"A.12","A.5",12
"A.13.","A.8",13.3
"A.14.","A.6",14.4
"A.3.","A.3",3.5
"A.5.","A.5",5.5
"A.7","A.4",7
"A.8.","A.5",8.5
"A10","A.0",10
"A10.","A.0",10.7
"A14","A.0",14
"A15.","A.0",15.4
"A3.","A.0",3.4
"A5.","A.0",5.4
"A8","A.0",8.1
"B.10.","B.6",10.6
"B.5.","B.4",5.5
"B.7","B.8",6.9
"B.8","B.7",8
"B11.","B.0",11.6
"B13","B.0",13
"B15.","B.1",15.4
"B2","B.0",2
"B4.","B.0",4.6
"B7.","A.9",7.3
"C.0.","C.5",0.6
"C.1","C.5",1.5
"C.17","C.5",17
"C.19","C.5",19
"C.5","C.5",5
"C.9","C.5",9.2
"C12","C.1",12.1
"C13","C.0",13
"C17","C.0",15.5
"C2.","C.0",2.6
"C4.","B.9",4.5
"C5","C.0",5
"C6","C.1",6.1
"C8.","C.0",8.6
"D.5.","D.5",5.4
"D.8.","D.7",8.4
"D15","D.8",15
"D17.","D.2",17.5
"D4","D.0",4
"D7","D.2",7
"E.2.","E.8",2.8
"E.20","E.0",20
"E.5","E.3",4.8
"E.6","E.0",6
"E1","E.0",1.1
"E11","D.9",10.9
"E13","E.0",13
"E14.","E.0",14.6
"E15","E.0",14.8
"E3.","E.0",3.6
"E4","E.0",4
"E7","E.2",7
"E9","E.0",8.9
"E9.","E.0",9.5
"F.0.","F.0",0.5
"F.1","F.0",1
"F.10.","F.3",10.7
"F.18.","F.8",18.7
"F.20.","F.4",20.6
"F.21","F.2",21.2
"F1","F.0",0.8
"F1.","F.0",1.6
"F11","F.0",11
"F12","F.2",12
"F16","F.0",16.1
"F17","F.0",17
"F18.","F.0",18.6
"F20","F.0",19.9
"F21.","F.1",21.3
"F3","E.8",2.9
"F4","E.9",4
"F4.","F.0",4.4
"F6","F.0",6
"F6.","F.0",6.4
"F8","F.1",8
"F9.","E.9",9.6
"G.0.","G.6",0.5
"G.1.","G.3",1.5
"G.10.","G.3",10.5
"G.18","G.5",17.9
"G.2","G.3",2
"G.3","G.3",2
"G.6.","G.5",6.7
"G.9.","G.4",9.6
"G1","F.9",1
"G10.","G.1",10.5
"G11.","G.0",11.5
"G13","G.1",13
"G16","G.1",16
"G20.","F.9",20.5
"G3.","G.0",3.5
"G4.","G.0",4.5
"G5","G.0",5.1
"G9","G.0",9.1
"H.14","H.5",14.1
"H.2","H.2",2.2
"H.3.","H.6",3.4
"H.4","H.4",4
"H.6","H.5",5.9
"H1","H.0",0.9
"H11","H.0",11.1
"H11.","G.8",11.7
"H12","H.0",12.1
"H15","H.0",14.9
"H18.","H.0",18.4
"H2","H.3",2
"H20","H.0",20
"H3.","H.0",3.4
"H4.","H.1",4.5
"H6","H.3",5.6
"H9","H.0",9.1
"I.15.","I.4",15.7
"I.16","I.6",16
"I.19","I.5",19
"I.2","I.5",1.8
"I.20.","I.6",20.4
"I.21","I.4",21.2
"I.3.","I.5",3.8
"I.5.","I.3",5.8
"I.6.","I.6",6.4
"I.8","I.5",8
"I1","I.0",1.2
"I11","H.9",10.9
"I11.","H.9",11.5
"I13","I.4",12.9
"I17.","I.0",17.5
"I18","I.0",18
"I19.","I.1",19.4
"I2.","I.1",2.7
"I20","I.0",20
"I21","I.2",21.1
"I5","I.2",5.2
"I5.","I.2",5.8
"I8","I.0",8
"I9","I.1",9.2
"J.10.","J.5",10.6
"J.13","J.7",13.1
"J.19","J.6",19
"J.20.","J.5",20.4
"J.6.","J.4",6.5
"J.9","J.4",9
"J1","J.0",1
"J10","J.2",10.1
"J11","J.1",11.1
"J14","J.1",14.1
"J2","J.3",1.9
"K.0.","K.6",0.4
"K.10.","K.6",10.5
"K.15","K.6",14.9
"K.15.","K.3",15.5
"K.17","K.8",17
"K.18.","K.5",18.5
"K.20","K.4",20.2
"K1.","J.9",1.6
"K13","K.0",13
"K14","K.1",14
"K15.","K.2",15.5
"K17.","K.1",17.5
"K19","K.1",19.1
"K3","K.0",3.1
"K6","K.0",6.1
"K7.","K.1",7.6
"L.0.","L.2",0.5
"L.1","L.5",0.9
"L.12","L.3",12
"L.15","L.6",15
"L.17","L.4",16.9
"L.3","L.7",3
"L.3.","L.5",3.4
"L1.","L.5",0.9
"L10","L.3",9.9
"L11","L.1",10.7
"L13.","L.2",13.5
"L15.","L.2",15.5
"L17","L.3",16.8
"L2.","L.1",2.5
"L3.","L.1",3.7
"L4","L.0",4
"L6","K.9",5.9
"L8","K.9",7
"L9","K.9",8.8
"M.0.","M.5",0.5
"M.1.","M.5",1.5
"M.12.","M.6",12.4
"M.14","M.2",14.4
"M.15","M.6",14.9
"M.8","M.6",7.9
"M10","M.1",10.1
"M14","L.9",13.9
"M15","M.3",14.9
"M7","L.9",7.1
"M8.","M.0",8.3
"M9","M.0",9
"N.0","N.5",0
"N.10.","N.3",10.5
"N.12","N.7",12
"N.13","N.3",12.8
"N.16.","N.5",16.5
"N.2.","N.4",2.4
"N.6.","N.6",6.4
"N1.","N.0",1.4
"N3.","N.2",3.4
"N6","N.2",6
"N8.","N.0",8.6
"N9","N.0",9
"O.10","O.7",9.9
"O.2","O.5",2
"O.2.","O.3",2.5
"O.4","O.5",4.4
"O.7.","O.5",7.4
"O.8","O.6",8
"O.8.","O.6",8.7
"O1","O.0",1
"O10.","O.2",10.8
"O4.","O.0",4.4
"O5","N.9",5
"O6","O.3",6.4
"O8","O.2",8.2
"P1","P.1",0.6
"P2.","P.0",2.7
"P3","P.0",2.9
"P9","P.0",9
"Q3","Q.0",3
