year,cone_index
1988,2.935005455
1989,0
1990,1.96067383
1991,0.288447912
1992,2.765078175
1993,3.50211721
1994,0.429397441
1995,3.399810805
1996,3.05452786
1997,2.318420105
1998,4.857957718
1999,1.912510036
2000,0.340580076
2001,1.633515447
2002,1.919901906
2003,0.93631462
2004,1.044898561
2005,3.365415311
2006,0.299671807
2007,1.758254119
2008,0.630300236
2009,1.300206322
2010,4.826192453
2011,0.108602543
2012,1.795114313
2013,2.595647417
2014,4.711175537
2015,0
2016,0.484325307
2017,1.808056144
2018,0.308226
2019,5.592546333
2020,0.905608338
2021,0.097281037
2022,5.687077798
2023,0.567048327
2024,2.051252221